-4.000.652;-4.005.395;-394.947;-4.056.839;-3.905.517;-3.939.263;-3.834.407;-3.933.242;-4.525.395;-3.905.794;-4.757.521;-4.179.628;-3.937.795;-4.709.214;-4.615.664;-4.677.744;-4.325.497;-4.198.248;-3.838.664;-3.745.007
-4.000.249;-4.005.347;-395.016;-4.061.638;-390.309;-393.136;-3.813.022;-3.959.574;-4.545.948;-3.970.944;-4.785.761;-4.224.049;-3.935.973;-4.693.113;-4.626.971;-4.677.744;-4.382.576;-4.294.303;-3.856.799;-372.234
-399.701;-400.547;-3.937.354;-4.063.203;-3.901.114;-3.922.577;-3.787.409;-3.952.297;-4.557.633;-4.036.854;-4.807.067;-4.289.794;-3.931.089;-4.669.279;-463.497;-4.697.972;-4.412.312;-4.320.765;-3.879.075;-3.693.055
-3.996.018;-4.004.401;-3.932.828;-4.063.841;-3.897.199;-3.890.671;-3.749.964;-3.947.124;-4.537.796;-4.111.545;-4.843.724;-4.323.118;-3.920.144;-4.649.475;-4.648.473;-4.700.539;-4.443.005;-4.314.852;-3.921.067;-3.660.813
-3.986.246;-4.003.759;-3.916.171;-4.062.026;-3.898.025;-3.880.288;-3.735.535;-4.154.453;-4.512.725;-4.265.703;-4.850.156;-4.350.766;-3.913.888;;-4.649.261;-4.700.739;-445.851;-4.311.789;-3.940.315;-3.591.222
-3.978.657;-4.003.647;-3.916.171;-4.054.001;-3.909.947;-385.535;-3.715.511;-4.240.878;-4.479.418;-4.336.076;-4.852.375;-439.008;-3.907.208;;-4.657.995;-4.687.328;-4.440.491;-43.043;-3.988.031;-3.551.846
-3.967.359;-4.004.655;-3.885.945;-4.048.362;-3.990.783;-3.841.961;-3.676.944;-4.406.838;-4.436.761;-4.411.559;-4.845.003;-441.073;-3.929.026;;-4.649.446;-4.680.151;-4.408.698;-4.268.308;-4.006.391;-3.541.216
-3.948.127;-3.999.197;-3.871.008;-4.030.844;-3.990.783;-3.824.859;-3.605.779;-440.067;-4.340.474;-4.476.349;-4.833.932;-4.431.986;-3.980.752;;-4.636.769;-4.661.435;-4.318.288;-4.237.791;-4.037.187;-3.514.864
-3.936.886;-3.994.602;-3.848.777;-4.017.477;-4.049.432;-3.804.774;-3.619.586;-4.394.739;-4.289.728;-4.565.052;-4.825.166;-4.445.579;-4.045.463;;-4.635.556;-4.661.435;-425.975;-419.641;-4.061.656;-3.498.749
-3.930.589;-3.989.022;-3.804.036;-4.012.945;-4.179.356;-378.426;-3.635.248;-4.525.599;-4.243.741;-4.582.252;-481.953;-4.454.452;-4.040.752;;-4.620.787;-4.646.074;-420.176;-414.635;-4.082.829;-3.361.255
-3.924.869;-398.219;-3.795.821;-3.988.202;-4.260.271;-3.731.972;-3.719.267;-4.558.396;-4.200.572;-4.599.694;-4.791.649;-4.468.812;-4.307.175;;-4.599.928;;-4.148.848;-4.083.963;-4.137.744;-3.325.799
-3.924.139;-3.973.155;-3.784.704;-3.974.345;-4.325.449;-3.698.017;-3.781.397;-4.586.885;-4.155.172;-4.614.566;-4.771.957;-4.477.923;-4.397.176;;;;-4.097.438;-4.020.791;-4.137.744;-3.301.295
-3.995.193;-3.954.347;-3.773.963;-3.939.999;-4.380.324;-3.666.865;-3.837.943;-4.631.881;-4.077.712;-4.615.879;-4.755.394;-4.518.727;-4.472.509;;;;-4.012.105;-3.918.483;-418.029;-3.311.505
