1.742.013;1.627.085;1.599.597;1.686.886;1.687.954;1.583.256;1.615.248;1.545.831;100.483;1.816.949;1.333.506;1.405.288;1.729.836;0.9525975;1.156.486;1.353.972;1.252.064;1.326.337;1.642.936;1.639.528
1.741.279;1.625.754;1.599.499;1.686.714;1.698.407;1.584.105;1.613.797;1.530.361;0.9248718;1.783.087;1.307.489;1.385.501;1.730.675;;1.125.348;1.338.827;1.022.576;1.050.888;1.645.824;1.630.216
1.740.037;1.626.604;1.599.499;1.686.835;1.713.244;158.956;16.104;1.508.633;0.8561566;1.750.494;1.284.046;1.352.359;1.745.089;;1.098.741;1.313.541;0.9159402;0.9196184;1.645.524;1.626.734
1.738.626;1.619.024;1.598.798;1.687.124;1.749.309;158.917;161.669;1.434.368;0.7950611;1.707.761;1.244.362;1.338.197;1.755.098;;1.061.902;1.304.384;0.8200481;0.708896;1.641.064;1.627.784
1.736.001;1.618.675;1.597.814;16.876;1.749.309;1.596.181;1.630.668;1.437.775;0.6979663;1.655.771;1.228.985;1.325.168;1.760.731;;1.050.011;1.291.516;0.67377;0.6206896;1.634.109;1.625.035
1.736.098;1.619.045;1.596.516;1.687.358;175.735;159.459;1.640.764;1.436.561;0.6607062;1.544.115;1.216.814;1.313.142;175.067;;104.216;1.291.516;0.6255516;0.5481946;1.625.458;1.632.215
1.736.851;1.619.415;1.592.724;1.686.467;1.754.236;1.600.945;1.654.413;1.310.344;0.6310601;1.489.373;1.207.302;1.302.092;1.727.558;;1.042.499;1.286.969;0.5890583;0.4943266;1.615.983;1.613.048
1.740.225;161.963;1.595.107;1.686.187;1.741.328;1.597.459;1.684.033;1.265.551;0.6073475;1.436.803;1.195.347;1.283;1.639.851;;105.225;;0.5642444;0.4546127;1.593.083;1.611.301
1.747.895;1.619.866;1.598.397;1.686.129;1.724.857;1.600.514;1.692.157;1.222.943;0.5921245;1.390.505;1.192.351;1.274.982;1.579.651;;;;0.5482152;0.4271683;1.593.083;1.611.994
1.758.573;1.617.645;1.601.434;1.687.885;170.248;1.596.475;1.693.143;1.148.326;0.5800216;1.348.666;1.191.175;1.268.005;1.520.063;;;;0.5299787;0.4053826;1.567.787;1.627.013
1.748.381;1.615.868;1.596.605;1.694.488;1.648.282;1.577.779;1.681.735;1.116.461;;1.272.236;;1.262.025;1.465.814;;;;0.5255198;0.4093127;1.555.042;1.622.183
172.149;1.614.742;1.607.737;1.704.223;1.619.711;1.550.579;1.660.977;1.087.924;;1.243.435;;1.252.967;1.416.993;;;;0.5233213;0.4093127;1.542.418;1.615.792
1.681.419;1.617.931;1.615.836;1.709.985;1.592.031;155.463;1.604.859;1.062.883;;1.222.461;;1.249.749;1.329.636;;;;0.5258408;0.4231768;1.517.057;151.702
1.589.994;1.624.115;162.079;1.687.698;1.541.315;1.393.286;1.577.592;1.024.603;;1.196.112;;1.247.285;129.187;;;;;0.4992329;1.504.762;1.438.345
1.547.604;1.623.382;1.627.409;166.291;1.518.796;128.716;1.525.244;;;1.185.499;;;1.226.687;;;;;0.5543068;1.480.906;1.362.089
1.507.675;1.623.657;1.652.214;163.568;1.498.076;1.248.291;1.500.388;;;1.177.572;;;1.198.692;;;;;0.615293;1.469.227;1.293.535
144.073;1.629.182;1.672.071;158.307;1.465.681;1.215.367;1.476.254;;;117.204;;;1.173.208;;;;;0.7411949;1.457.936;1.166.142
1.412.472;1.630.096;1.676.875;1.557.876;1.451.844;1.186.578;1.452.886;;;1.171.666;;;1.150.826;;;;;0.7956734;144.695;11.113
1.387.143;1.600.139;1.667.123;1.535.852;143.958;1.159.787;1.430.149;;;1.167.318;;;1.131.556;;;;;;1.436.485;1.060.785
1.364.495;1.603.918;1.614.755;1.508.239;1.428.903;1.114.791;1.388.446;;;1.163.692;;;1.102.357;;;;;;141.732;1.015.483
