-4.47026,-3.923215,-3.95213,-4.017833,-4.034779,-3.953037,-4.005789,-4.075945,-4.052311,-4.103298,-3.880473,-3.937912,-3.932798,-3.862588,-3.929121,-3.895388,-3.866915,-3.866247,-3.879956,-3.864945,-3.88801
-4.47026,-3.919324,-3.954045,-4.018277,-4.034663,-3.95332,-4.005702,-4.073008,-4.054755,-4.104501,-3.87932,-3.927819,-3.932798,-3.862588,-3.930031,-3.889127,-3.852211,-3.860335,-3.877013,-3.857408,-3.885072
-4.470214,-3.919718,-3.952435,-4.015319,-4.036213,-3.953801,-4.005648,-4.071715,-4.052536,-4.105472,-3.880722,-3.906026,-3.925312,-3.854349,-3.93114,-3.88446,-3.849851,-3.846894,-3.872241,-3.856148,-3.883562
-4.469679,-3.919525,-3.952291,-4.016486,-4.034527,-3.953525,-4.006199,-4.065439,-4.051905,-4.106097,-3.879677,-3.890368,-3.906241,-3.842221,-3.933995,-3.861012,-3.851505,-3.836501,-3.866142,-3.85132,-3.882905
-4.468835,-3.91711,-3.953317,-4.016748,-4.034574,-3.950544,-4.006607,-4.065771,-4.051354,-4.106219,-3.877344,-3.877481,-3.884259,-3.824039,-3.927744,-3.851599,-3.891686,-3.823125,-3.835749,-3.850933,-3.879567
-4.469925,-3.913167,-3.952966,-4.015683,-4.032862,-3.951381,-4.007183,-4.063665,-4.050969,-4.105163,-3.876907,-3.867047,-3.866218,-3.815054,-3.917284,-3.844361,-3.891686,-3.808531,-3.823716,-3.847705,-3.869709
-4.467715,-3.913212,-3.952665,-4.016525,-4.033486,-3.954239,-4.007279,-4.061326,-4.051259,-4.104598,-3.877721,-3.857809,-3.816936,-3.805868,-3.886304,-3.836315,-3.982639,-3.776686,-3.816243,-3.842569,-3.861053
-4.468658,-3.912179,-3.952233,-4.014659,-4.033231,-3.955613,-4.006696,-4.058589,-4.053308,-4.104003,-3.878418,-3.858208,-3.804419,-3.799341,-3.865596,-3.828163,-4.04761,-3.766455,-3.829515,-3.831467,-3.854789
-4.467383,-3.910471,-3.953012,-4.013466,-4.033605,-3.959699,-4.007644,-4.05647,-4.053617,-4.103781,-3.879417,-3.875847,-3.792241,-3.821424,-3.853844,-3.830325,-4.106797,-3.76182,-3.873569,-3.823061,-3.844776
-4.465158,-3.910909,-3.952133,-4.013526,-4.029731,-3.961807,-4.008312,-4.052121,-4.052212,-4.102095,-3.877062,-3.924629,-3.786673,-3.888674,-3.843822,-3.844987,-4.186335,-3.762925,-4.038187,-3.815128,-3.841924
-4.465647,-3.910486,-3.951269,-4.011829,-4.028129,-3.964303,-4.007929,-4.046933,-4.046674,-4.100747,-3.877042,-3.979357,-3.795563,-3.981602,-3.836961,-3.880823,-4.323076,-3.84183,-4.149072,-3.811534,-3.844301
